Exchange Rates On Transaction USD  ;Exchange Rates On Transaction USD  ;Exchange Rates On Transaction USD  ;Exchange Rates On Transaction USD  ;
;;;;
NO;Value;Sell;Buy;Date
1;1;15493,08;15338,92;12/29/2023 12:00:00 AM
2;1;15491,07;15336,93;12/28/2023 12:00:00 AM
3;1;15566,44;15411,56;12/27/2023 12:00:00 AM
4;1;15610,67;15455,33;12/22/2023 12:00:00 AM
5;1;15589,56;15434,44;12/21/2023 12:00:00 AM
6;1;15583,53;15428,47;12/20/2023 12:00:00 AM
7;1;15593,58;15438,42;12/19/2023 12:00:00 AM
8;1;15580,51;15425,49;12/18/2023 12:00:00 AM
9;1;15570,47;15415,53;12/15/2023 12:00:00 AM
10;1;15707,15;15550,85;12/14/2023 12:00:00 AM
11;1;15709,16;15552,84;12/13/2023 12:00:00 AM
12;1;15692,07;15535,93;12/12/2023 12:00:00 AM
13;1;15577,5;15422,5;12/11/2023 12:00:00 AM
14;1;15613,68;15458,32;12/8/2023 12:00:00 AM
15;1;15581,52;15426,48;12/7/2023 12:00:00 AM
16;1;15581,52;15426,48;12/6/2023 12:00:00 AM
17;1;15523,23;15368,77;12/5/2023 12:00:00 AM
18;1;15601,62;15446,38;12/4/2023 12:00:00 AM
19;1;15561,42;15406,58;12/1/2023 12:00:00 AM
20;1;15460,92;15307,08;11/30/2023 12:00:00 AM
21;1;15527,25;15372,75;11/29/2023 12:00:00 AM
22;1;15604,64;15449,36;11/28/2023 12:00:00 AM
23;1;15664,93;15509,07;11/27/2023 12:00:00 AM
24;1;15670,97;15515,03;11/24/2023 12:00:00 AM
25;1;15661,92;15506,08;11/23/2023 12:00:00 AM
26;1;15513,18;15358,82;11/22/2023 12:00:00 AM
27;1;15496,09;15341,91;11/21/2023 12:00:00 AM
28;1;15581,52;15426,48;11/20/2023 12:00:00 AM
29;1;15672,98;15517,02;11/17/2023 12:00:00 AM
30;1;15580,51;15425,49;11/16/2023 12:00:00 AM
31;1;15777,5;15620,5;11/15/2023 12:00:00 AM
32;1;15791,57;15634,43;11/14/2023 12:00:00 AM
33;1;15771,47;15614,53;11/13/2023 12:00:00 AM
34;1;15727,25;15570,75;11/10/2023 12:00:00 AM
35;1;15707,15;15550,85;11/9/2023 12:00:00 AM
36;1;15670,97;15515,03;11/8/2023 12:00:00 AM
37;1;15627,75;15472,25;11/7/2023 12:00:00 AM
38;1;15849,85;15692,15;11/6/2023 12:00:00 AM
39;1;15940,31;15781,69;11/3/2023 12:00:00 AM
40;1;16025,73;15866,27;11/2/2023 12:00:00 AM
41;1;15976,49;15817,51;11/1/2023 12:00:00 AM
42;1;15995,58;15836,42;10/31/2023 12:00:00 AM
43;1;16020,7;15861,3;10/30/2023 12:00:00 AM
44;1;16012,67;15853,33;10/27/2023 12:00:00 AM
45;1;15950,35;15791,65;10/26/2023 12:00:00 AM
46;1;15948,34;15789,66;10/25/2023 12:00:00 AM
47;1;16022,72;15863,28;10/24/2023 12:00:00 AM
48;1;15935,28;15776,72;10/23/2023 12:00:00 AM
49;1;15917,19;15758,81;10/20/2023 12:00:00 AM
50;1;15809,66;15652,34;10/19/2023 12:00:00 AM
51;1;15796,59;15639,41;10/18/2023 12:00:00 AM
52;1;15794,58;15637,42;10/17/2023 12:00:00 AM
53;1;15787,55;15630,45;10/16/2023 12:00:00 AM
54;1;15780,51;15623,49;10/13/2023 12:00:00 AM
55;1;15788,55;15631,45;10/12/2023 12:00:00 AM
56;1;15786,54;15629,46;10/11/2023 12:00:00 AM
57;1;15753,38;15596,63;10/10/2023 12:00:00 AM
58;1;15706,14;15549,86;10/9/2023 12:00:00 AM
59;1;15679;15523;10/6/2023 12:00:00 AM
60;1;15714,18;15557,82;10/5/2023 12:00:00 AM
61;1;15678;15522;10/4/2023 12:00:00 AM
62;1;15596,59;15441,41;10/3/2023 12:00:00 AM
63;1;15564,43;15409,57;10/2/2023 12:00:00 AM
64;1;15603,63;15448,37;9/29/2023 12:00:00 AM
65;1;15541,32;15386,68;9/27/2023 12:00:00 AM
66;1;15476;15322;9/26/2023 12:00:00 AM
67;1;15459,92;15306,08;9/25/2023 12:00:00 AM
68;1;15473,99;15320,01;9/22/2023 12:00:00 AM
69;1;15472,98;15319,02;9/21/2023 12:00:00 AM
70;1;15457,91;15304,09;9/20/2023 12:00:00 AM
71;1;15449,86;15296,14;9/19/2023 12:00:00 AM
